Starting Container
npm warn config production Use `--omit=dev` instead.
npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  5/7/2026 3:17:09 PM 100.64.0.2 GET /robots.txt
 HTTP  5/7/2026 3:17:09 PM 100.64.0.2 Returned 200 in 15 ms
 HTTP  5/7/2026 3:17:09 PM 100.64.0.3 GET /sitemap.xml
 HTTP  5/7/2026 3:17:09 PM 100.64.0.3 Returned 200 in 2 ms
 HTTP  5/7/2026 3:18:37 PM 100.64.0.4 GET /tracking-workspace
 HTTP  5/7/2026 3:18:37 PM 100.64.0.4 Returned 200 in 2 ms
 HTTP  5/7/2026 3:18:37 PM 100.64.0.5 GET /assets/index-DitdvvL0.js
 HTTP  5/7/2026 3:18:37 PM 100.64.0.5 Returned 200 in 3 ms
 HTTP  5/7/2026 3:18:37 PM 100.64.0.6 GET /assets/index-DfrjdD-B.css
 HTTP  5/7/2026 3:18:37 PM 100.64.0.6 Returned 200 in 2 ms
 HTTP  5/7/2026 3:18:39 PM 100.64.0.6 GET /assets/clock-qZ7KKNjQ.js
 HTTP  5/7/2026 3:18:39 PM 100.64.0.6 Returned 200 in 4 ms
 HTTP  5/7/2026 3:18:39 PM 100.64.0.4 GET /assets/PageSystem-ChWnoU7E.js
 HTTP  5/7/2026 3:18:39 PM 100.64.0.4 Returned 200 in 2 ms
 HTTP  5/7/2026 3:18:39 PM 100.64.0.6 GET /assets/SampleDownloadLink-CIaRSXE8.js
 HTTP  5/7/2026 3:18:39 PM 100.64.0.6 Returned 200 in 3 ms
 HTTP  5/7/2026 3:18:39 PM 100.64.0.7 GET /assets/useTrackingJobPolling-DVqJq-q_.js
 HTTP  5/7/2026 3:18:39 PM 100.64.0.8 GET /assets/circle-alert-C3QPQqJs.js
 HTTP  5/7/2026 3:18:39 PM 100.64.0.7 Returned 200 in 2 ms
 HTTP  5/7/2026 3:18:39 PM 100.64.0.8 Returned 200 in 2 ms
 HTTP  5/7/2026 3:18:40 PM 100.64.0.9 GET /assets/refresh-cw-CB9tbtx-.js
 HTTP  5/7/2026 3:18:40 PM 100.64.0.9 Returned 200 in 2 ms
 HTTP  5/7/2026 3:18:40 PM 100.64.0.10 GET /assets/BulkTracking-B1rke8TI.js
 HTTP  5/7/2026 3:18:40 PM 100.64.0.10 GET /assets/UnifiedShipmentCards-BbWSxA6h.js
 HTTP  5/7/2026 3:18:40 PM 100.64.0.10 Returned 200 in 1 ms
 HTTP  5/7/2026 3:18:40 PM 100.64.0.10 Returned 200 in 3 ms
 HTTP  5/7/2026 3:25:23 PM 100.64.0.11 GET /
 HTTP  5/7/2026 3:25:23 PM 100.64.0.11 Returned 200 in 1 ms
